features/geometry/type,features/geometry/coordinates/0,features/geometry/coordinates/1,features/type,features/properties/mb_lengte,features/properties/breedte_in_m,features/properties/wgs84_geo_e,features/properties/sunk_in_period,features/properties/bodemdiepte_oud,features/properties/wgs84_geo_n,features/properties/bazoverzicht,features/properties/code_diepte,features/properties/totaal,features/properties/thuishaven,features/properties/opmerkingen,features/properties/mb_30,features/properties/datedredged,features/properties/mb_breedte,features/properties/tonnenmaatbruto,features/properties/codetermote,features/properties/depth_20,features/properties/nationaliteit,features/properties/code_vaargeul,features/properties/bouwjaar,features/properties/vorige_diepten,features/properties/code_lengte,features/properties/length_5,features/properties/opgeruimd_tot_op,features/properties/code_historiek,features/properties/teken_op_kaart,features/properties/lengte_in_m,features/properties/lading,features/properties/code_teken,features/properties/bodemdiepte_aangepast,features/properties/berging_datum,features/properties/termote,features/properties/dredgeddepth,features/properties/mb_strekking,features/properties/holte_in_m,features/properties/wraknummer,features/properties/teken_10,features/properties/gevonden_door,features/properties/opgeruimd_door_firma,features/properties/type_schip,features/properties/totaal_klasse,features/properties/name,features/properties/side_scan,features/properties/multibeam,features/properties/utm_31n_northing,features/properties/fairway_35,features/properties/datefound,features/properties/utm_31n_easting,features/properties/werf,features/properties/gezonken_op,features/properties/bijzondere_opmerkingen,features/properties/eigenaar,features/properties/code_mb,features/properties/hout___staal,features/id
Point,3.210964767124712,51.37668473857682,Feature,"11,67",,"003\xb0 12,658 E",99,"10,50","51\xb0 22,601 N",1993 / 09 - 094,4,"60,00",-,,24,1993/04/23,"2,50",,1,16,,1,,-,3,3.75,-,6,"08,7 Wk__",,-,3,10.36,,184,"8,70","309,81",,B_122_312_e,7.5,,-,,4,onbekend,,1995/09/21,514683.12,8.75,,5691736.13,-,,Dieptecijfer ongewijzigd in LAT,-,4,-,184
Point,2.407476151263138,51.613828588718725,Feature,61,,"002\xb0 24,449 E",99,"35,50","51\xb0 36,830 N",1995 / 19 - 141,2,"61,50",-,,6,,"12,00",,1,8,-,4,,"29 Wk__ ; 32 Wk ; 31 Wk; 30,0 Wk GLLWS",4,5,-,6,"29,5 Wk",,-,3,32.34,,266,,"348,00",,B_136_224,7.5,,-,,3,onbekend,,2015/09/27,458974,35,,5718254.83,-,,"Het wrak werd in 1982 bewerkt met explosieven.
 Ook wel gekend als het TWIN wrak.

B_136_224

Midden 51\xb0 36'.830 - 002\xb0 24'.449
Pt_01  51\xb0 36'.822 - 002\xb0 24'.453
Pt_02  51\xb0 36'.790 - 002\xb0 24'.464

Dieptecijfer gewijzigd naar LAT",-,1,-,265
Point,2.618119003856103,51.71903961971415,Feature,"55,83",,"002\xb0 37,087 E",99,"25,00","51\xb0 43,142 N",,3,"56,75",,,6,,"9,17",,1,12,,3,,"20,5 Wk__",4,5,,5,"20,4 Wk__",,,3,26.49,,277,,"206,19",,B_143_237,7.5,Ter Streep,,,4,ALFONSO TERCERO,,2015/07/20,473619.9,26.25,,5729858.76,,,B_143_237Midden 51\xb0 43'.142 - 002\xb0 37'.087Pt_01  51\xb0 43'.156 - 002\xb0 37'.102Pt_02  51\xb0 43'.128 - 002\xb0 37'.080Dieptecijfer gewijzigd naar LAT,,1,,276
Point,3.109660883240653,51.41225013296192,Feature,18,,"003\xb0 06,580 E",99,"9,00","51\xb0 24,735 N",1997 / 05 - 069,5,"41,00",-,,6,,"2,50",,1,20,-,1,,"5,5 Wk",3,3.75,-,6,#,,-,1,9.61,,230,"5,50","55,00",,B_124_306,2.5,,-,,5,onbekend,,2014/02/19,507626.47,8.75,,5695675.99,-,,Wrak steekt nu ongeveer 1 m boven de omliggende bodem (19/02/2014),-,1,-,230
Point,2.328725614062164,51.50861532804494,Feature,60,,"002\xb0 19,724 E",99,"21,00","51\xb0 30,517 N",1996 / 24 - 160,3,"65,50",,,6,,"15,00",,1,12,,4,,"20,0 Wk GLLWS 19,9 LAT",4,5,,6,"22,0 Wk",,,3,24.17,,255,,"145,00",,B_130_219,7.5,Ter Streep,,,3,onbekend,,2013/04/01,453414.03,35,,5706600.91,,,"Het wrak van ongeveer 28 m lang, ligt op een onregelmatige bodem. Het hoogste punt van het wrak ligt lager dan de ravels in onmiddellijke omgeving.

B_130_219

Midden 51\xb0 30'.517 - 002\xb0 19'.724
Pt_01  51\xb0 30'.528 - 002\xb0 19'.730
pt_02  51\xb0 30'.508 - 002\xb0 19'.721

Dieptecijfer gewijzigd naar LAT

Dit wrak is in 2010 gesurveyed door HrMs Luymes en is de diepte bepaald op 22,3m, voor de kaart gereduceerd naar 22m LAT dd 10/09/2012.",,1,,254
Point,2.866644234502588,51.22484226720463,Feature,u,,"002\xb0 51,999 E",99,"7,50","51\xb0 13,491 N",1996 / 24 - 159,5,"68,75",,,30,,,,1,20,,1,,"Zichtbaar bij LW; 06,0 Obstn GLLWS",2,2.5,,"2,50","05,9 Obstn",,,3,7.43,,53,,,,B_113_252_a,7.5,Ter Streep,,Stoomschip,3,HUGHLI,,2014/09/15,490687.78,8.75,,5674837.13,,,"Volgens het echogram van de single-beam verheft deze obstructie zich tot 0,7 m boven de omringende bodem. In 1966 werd in de positie 51\xb013' 25"" N en 02\xb052' 16"" E een wrak opgeruimd ( Zie BAZ 1966/26-224 ). Na het opruimen in 1966 werd het teken van de kaart geschrapt.

Dieptecijfer gewijzigd naar LAT",,5,staal,32
Point,2.537794787188413,51.84787821076767,Feature,112,"16,50","002\xb0 32,268 E",99,"41,00","51\xb0 50,873 N",,2,"61,50",,,6,,"24,50","0,00",3,8,,4,0,,4,5,,,"30,5 Wk","112,00",,3,37.03,,,,"104,00","8,00",B_150_232,7.5,HrMs Snellius,,,3,Onbekend,,2013/09/04,468162,35,,5744220,,,"In de jaaropdracht voor ons HOV (Hydrografisch Opname Vaartuig), nummer HY12209_210_229 zit een stukje Belgi\xeb. Dit gebied is op 15 juli 2012 opgenomen door HrMs Snellius. Het betreft het gebied tussen de Belgisch - Nederlandse grens en het TSS North Hinder South. Hierin liggen twee wrakken die in onze database zijn opgenomen en ook in de kaart staan, te weten de nummers 1755 en 2551. 

De diepte van wrak 2551 is volgens het wrakkenblad nu 30,97m, hetgeen resulteert in een kaartdiepte van 30,5m. LAT

Midden  51\xb0 50'.873 - 002\xb0 32'.268
Pt_01   51\xb0 50'.884 - 002\xb0 32'.183
Pt_02   51\xb0 50'.874 - 002\xb0 32'.527

Dieptecijfer LAT",,1,,293
Point,2.974498706260265,51.2891635873709,Feature,69,"11,00","002\xb0 58,470 E",99,"5,60","51\xb0 17,350 N",1960 / 11 - 081,5,"66,25",-,,30,,,"1141,00",1,20,Brits,1,1943,"2,4 Wk ; 5,6 Wk__",4,5,bodem,6,#,"69,00",-,1,5.2,,112,"5,60",,"4,00",B_117_258,2.5,,Ackermans & Van Haaren,Tanker,3,onbekend,,,498221.73,8.75,,5681982.08,"Barnes Duluth S.B. & Co., Duluth, Minnesota",1944/11/02,"Opgeruimd wrak, opgeruimd tot omringende bodem. De RIO BRAVO werd op 2 november 1944 getorpedeerd door een Duitse E-boot waarbij 14 bemanningsleden gedood werden. De overlevenden werden gered door HMS KERNOT (Royal Navy - Belgische Sectie ). Op 01/07/96 werd een uitvoerig Side Scan onderzoek uitgevoerd . Hier is alleen sprake van een 17-tal merkwaardige bodems waarvan 5 mogelijks wrakresten bevatten en \xe9\xe9n een klein objekt. Zie verslag van Bruggen en Wegen Oostende van 01 juli 1996.","Ministry of War Transport, U.S.A. (Mgrs. F.T. Everaerd & S",5,staal,111
Point,3.085637764630723,51.39746960670458,Feature,u,,"003\xb0 05,138 E",99,"11,50","51\xb0 23,848 N",1987 / 24 - 155,4,"77,25",,,30,1987/09/29,,,1,16,frans,3,,Obstn,2,2.5,bodem,5,#,,,1,11.62,1987/09/07,214,"11,50",,,B_123_305_b,2.5,,"T.V.B. ""Norma""",Mijnenveger,2,CAPELLA,,,505957.68,26.25,,5694030,,1987/02/28,Op 28 februari 1987 om 09 h 02 was de Franse mijnenveger in aanvaring gekomen met het Liberiaans vrachtschip GUATEMALA. De aanvaring gebeurde in dichte mist. De achtersteven van de mijnenveger werd afgevaren. Bij dit ongeluk werd \xe9\xe9n persoon gewond en werd voor verzorging per helicopter naar het Brugs ziekenhuis gebracht. Het wrakstuk werd in 1987 opgeruimd tot op de bodem.,,5,,214
Point,3.113246683214811,51.39000089178283,Feature,u,"17,30","003\xb0 06,795 E",2,"9,40","51\xb0 23,400 N",1963 / 25 - 218,5,"81,25",Baltimore,,30,1963/11/04,,"7219,00",1,20,Brits,3,1943,"zichtbaar bij LW ; 1,9 Wk__ ; +++",2,2.5,,4,#,"128,00",Oil Fuel,1,9.82,,203,"9,40",,,B_123_306_a,2.5,,Ackermans & Van Haaren  & TVB NORMA,Liberty,1,SAMVURN  (E-deel),,,507879.67,26.25,,5693202,"Bethlehem Fairfield, Baltimore",1945/01/18,"Gezonken na een mijnexplosie  nabij NF 11 op 18 januari 1945 . Het schip vaarde in konvooi  van Antwerpen naar Londen. Bij deze ramp stierven 7 bemanningsleden en 9 soldaten, 41 overlevenden werden door HMLS T239 opgepikt. Zie afschrift van de verklaring van 23 januari 1945 van zeeloods J. Van Huyse.","Ministry of War, U.S.A.",5,Staal,203
Point,2.696634836121781,51.250548215695176,Feature,109,"17,30","002\xb0 41,798 E",2,"11,50","51\xb0 15,033 N",1990 / 24 - 140,5,"66,25",-,,30,1990/11/13,,"2750,00",1,20,Brits,1,1942,"4,7 WK__ ; 7 Wk__",4,5,bodem,3,#,"109,00","Vrachtwagens, jeeps en oorlogsmateriaal",1,9.61,,82,"11,00",,"2,75",B_115_241,2.5,,"Tijd. Ver. Bergingswerken ""Norma""",LST Landing Ship Tanks,3,LST. 420  voorschip,,,478827.86,8.75,,5677731.11,Bethlehem Fairfield Baltimore,1940/11/07,"De LST 420 werd ter hoogte van de Middelkerke Bank door een mijn getroffen. Het schip brak in 2 stukken die uit elkaar dreven . De  boeg zonk in hoger vermelde positie en werd in 1990 opgeruimd tot de bodem. Het achterschip ligt in positie 51\xb015',510 N en 002\xb040',836 E . Deze positie werd met DGPS bepaald, zie dossier B115/240",USA,5,staal,81
Point,2.71698905236023,51.16520978044756,Feature,u,,"002\xb0 43,019 E",2,"6,30","51\xb0 09,913 N",1989 / 14 - 110,5,"63,75",Scarborough,,30,1989/03/30,,"290,00",1,20,Brits,1,,"zichtbaar ; 2,6  Wk ; 2,6 Wk__",2,2.5,,4,#,,-,1,6.04,,17,"6,00",,,B_109_243,2.5,,"Tijd. Ver. Bergingswerken ""Norma""",Vissersboot,3,POLLY JOHNSON,,,480211.86,8.75,,5668235.17,,1940/05/29,"Het wrak werd opgeruimd en afgedregd tot  op 1 voet over de bodem , er werd niets meer gevonden.",Great-Britain,5,Staal,74
Point,3.109745955410777,51.374502343953004,Feature,u,,"003\xb0 06,585 E",99,"9,00","51\xb0 22,470 N",1989 / 03 - 060,5,"63,75",,,30,1986/06/19,,"22,00",1,20,,1,,"7,7 Wk ; 8,3 Wk__  ; #",2,2.5,bodem,5,#,,,1,9.67,,180,"8,30",,,B_122_306,2.5,,Tijd. Ver. Bergingswerken Norma,,3,Z.438 KOMPAS,,,507638.67,8.75,,5691478.02,,1975/08/08,Het houten vissersvaartuig Z 438 zonk in augustus 1975 ongeveer 1/2 mijl west van de A2 lichtboei. In 1988 werd het wrak opgeruimd tot op de bodem door de Tijdelijke Vereniging Bergingswerken.,,5,hout,180
Point,3.331700795664633,51.37619728105479,Feature,u,,"003\xb0 19,902 E",99,"5,50","51\xb0 22,572 N",1992 / 23 - 184,5,"68,75",,,30,1992/09/29,,,1,20,,1,,"04,9 Wk__ GLLWS",2,2.5,,5,"04,8 Wk__",,,3,3.91,,183,"4,90",,,B_122_319,7.5,,-,,3,Slijkbak HC14,,,523086.56,8.75,,5691713.01,,,"In 1955 zonk een met stortstenen gevulde lichter tussen Knokke en het Zoute, ongeveer een halve mijl uit de wal. De juiste positie was niet bekend. Zie BAZ 1955/11-57

Dieptecijfer gewijzigd naar LAT",,5,,183
Point,2.540031551307768,51.527950343212886,Feature,u,"5,00","002\xb0 32,402 E",1,"23,20","51\xb0 31,677 N",1994 / 19 - 126,2,"56,75",-,,30,1994/07/12,,"100,00",1,8,Duitsland,1,,"31,0 Wk__ GLLWS",2,2.5,-,3,"30,5 Wk__","35,00",-,3,32.75,,257,"31,30",,,B_131_232,7.5,,-,Snelboot,4,Schnellboot,,,468091.94,8.75,,5708637.9,-,,"Uit duikersonderzoek blijkt het wrak een duitse snelboot te zijn. De wrakstukken liggen verspreid.(Duitse snelboot type S 100)

Dieptecijfer gewijzigd naar LAT",-,5,Aluminium,256
Point,2.86791109291079,51.34249509717493,Feature,"52,08",,"002\xb0 52,075 E",0,"11,00","51\xb0 20,550 N",1996 / 17 - 129,5,47.25,,,6,1992/09/30,9,,1,20,,1,,"08,8 Wk__ GLLWS",4,5,,1,"08,7 Wk__",,,3,8.16,,135,"8,80",61,,B_120_252,7.5,,-,Duikboot,5,U 11,,2018/04/20,490799.78,8.75,,5687921.04,,,"Duitse duikboot uit eerste wereldoorlog.

B_120_252

Midden 51\xb0 20'.550 - 002\xb0 52'.075
Pt_01  51\xb0 20'.561 - 002\xb0 52'.090
Pt_02  51\xb0 20'.540 - 002\xb0 52'.061

Dieptecijfer gewijzigd naar LAT",,1,,134
Point,2.630327708684832,51.128324625646826,Feature,u,,"002\xb0 37,820 E",99,"0,00","51\xb0 07,699 N",1963 / 19 - 155,5,"63,75",,,30,,,,1,20,,1,,Zichtbaar bij LW ;,2,2.5,,6,Zichtbaar Wrak,,,1,1.09,,2,,,,B_107_237,2.5,,,,3,onbekend,,,474131.9,8.75,,5664160.2,,,"In 1947 werd een andere positie opgegeven nl  51\xb0 07' 44'' N - 02\xb0 37' 38'' E  zie BAZ nr.262. In 1963 werd een teken van zichtbaar wrak in de positie 
51\xb0 07' 45.5'' N  -  02\xb0 37' 54'' E aangebracht ( zie BAZ 1963/19-155 ). In het zelfde jaar werd het zichtbare wrak in hoger vermelde positie geschrapt.  Een nieuw wrak met 0,2 Wk als teken werd aangebracht in positie 51\xb0 08' 03'' N en 02\xb0 37' 33'' E.",,5,,59
Point,2.722510265664312,51.768292698697884,Feature,45,"15,00","002\xb0 43,351 E",99,"34,00","51\xb0 46,098 N",,2,53.00,,,0,,"15,00",,3,8,,4,,,2,2.5,,,,"45,00",,3,31.32,,,,"229,00","3,00",B_146_243,7.5,Ter Streep,,,4,onbekend,,2016/06/07,480852,35,2016/06/07,5735304,,,,,0,,299
Point,2.94534424694761,51.25332942513754,Feature,"67,14",,"002\xb0 56,721 E",2,"5,00","51\xb0 15,200 N",1996 / 15 - 121,5,"41,25",-,,0,,"7,14","3600,00",1,20,Brits,1,,"zichtbaar bij HW ; 3,8 Wk__ GLLWS",4,5,,1,"03,7 Wk__",,-,3,5.08,,85,,"13,67",,B_115_256_a,7.5,Geosurveyor IV,-,Kruiser,5,HMS  BRILLIANT,,2015/12/02,496185.75,8.75,2015/12/02,5677998.11,-,1914/01/01,"In deze positie liggen 2 wrakken dicht bij  elkaar. De wrakken liggen bijna volledig onder het zand. Alleen de boegen steken nog ongeveer  2 m boven de bodem uit.

B_115_256_a

Midden 51\xb0 15'.200 - 002\xb0 56'.721
Pt_01  51\xb0 15'.219 - 002\xb0 56'.725
Pt_02  51\xb0 15'.187 - 002\xb0 56'.720

Dieptecijfer gewijzigd naar LAT",Great-Britain,0,Staal,84
Point,2.635844299622598,51.62082832707172,Feature,25,,"002\xb0 38,151 E",2,"36,00","51\xb0 37,250 N",1997 / 22 - 160,2,"69,50",,,24,,"5,00","135,00",1,8,,3,1915,,3,3.75,,2,33 Wk,,,3,36.42,,267,,"176,00",,B_137_238_a,7.5,Ter Streep,,Stoomschip,3,SS Timor,,1997/10/06,474789.89,26.25,,5718929.83,,1917/06/16,"Waarschijnlijk is dit schip de TIMOR.

B_137_238_a

Midden 51\xb0 37'.250 - 002\xb0 38'.151
Pt_01  51\xb0 37'.257 - 002\xb0 38'.154
Pt_02  51\xb0 37'.243 - 002\xb0 38'.156

Dieptecijfer ongewijzigd in LAT",,4,Staal,266
Point,2.850059975136344,51.36612228292846,Feature,u,,"002\xb0 51,004 E",99,0,"51\xb0 21,967 N",,4,"64,75",,,30,,,,1,16,,1,,,2,2.5,,6,-,,,3,19.92,,162,,,,B_121_251,7.5,,,,3,onbekend,,,489561.79,8.75,,5690551.02,,,"Tijdens de Side Scan opname van 22/03/1993, nabij het wrak van de OSKOBEL ( B 122/251 ), werd een klein en lang object gevonden. Het heeft een lengte van  tien meter en een hoogte van nauwelijks 1 meter.",,5,,162
Point,3.299083201058501,51.40263330076582,Feature,u,,003\xb0 17.945 E,99,0,51\xb0 24.158 N,,4,77.25,,,30,,,,2,16,,3,,,2,2.5,,,,,,1,11.54,,218,,,,B_124_318,2.5,,,,2,,,,520804.37,26.25,,5694643.22,,,,,5,,218
Point,2.821635379088734,51.32844233224699,Feature,"41,67",,"002\xb0 49,298 E",1,"14,00","51\xb0 19,707 N",1996 / 17 - 129,4,"43,25",Cuxhavn,,6,1988/03/18,"8,33","217,00",1,16,Duits,1,1905,"8,3 Wk__; 10,8 Wk__ GLLWS",4,5,,1,"10,7 Wk__",,-,3,13.97,,129,"10,80","174,29",,B_119_249,7.5,,-,Vissersboot,5,Vorpostenboot Senator Holthusen,,2006/09/22,487572.8,8.75,,5686365.05,"J.H.N. Wichhorst, Hamburg, Duitsland",1917/09/05,"Gebouwd in 1905 als EGON VIDAL - Partner Reederei KR. Egon Vidal - Hamburg.
In 1908 werd het schip verkocht aan Cuxhavn Reederei onder de naam SENATOR HOLDHUSEN. In 1914 werd het door de Duitse marine gebruikt als voorpost.
Op 5 september 1917 liep het schip op een mijn en zonk ongeveer 2 1/2 mijl ten zuidwesten van de Oostendebank Noord.

B_119_249

Midden 51\xb0 19'.707 - 002\xb0 49'.298
Pt_01  51\xb0 19'.718 - 002\xb0 49'.297
Pt_02  51\xb0 19'.697 - 002\xb0 49'.301

Dieptecijfer gewijzigd naar LAT","Cuxhavn Rederei, Cuxhavn, Duitsland",1,Staal,128
Point,2.643857449379825,51.2086221377774,Feature,13,,"002\xb0 38,631 E",2,"10,50","51\xb0 12,517 N",2008 / 03 - 050,4,"60,00",,,24,,"2,00",,1,16,Frans,1,1905,08 Wk GLLWS,3,3.75,,1,"07,9 Wk",,,3,10.15,,38,,"212,00",,B_112_238_a,7.5,Ter Streep,,Torpedoboot,4,Torpilleur 319,,1997/07/17,475121.89,8.75,,5673085.14,Augustin Normand (Le) Havre,1915/01/15,"Door de duiker GA herkend als een Franse torpedoboot uit de Eerste Wereldoorlog. Gestempelde koolbricqetten met het jaartal zijn gevonden alsook zilveren lepels en Delfts  toilet. Deze vondsten zijn te bezichtigen in het Maritiem museum in Oostduinkerke. Het schip zou op een mijn gelopen zijn op 15 januari 1915.

B_112_238_a

Midden 51\xb0 12'.517 - 002\xb0 38'.631
Pt_01  51\xb0 12'.520 - 002\xb0 38'.635
Pt_02  51\xb0 12'.514 - 002\xb0 38'.629

Dieptecijfer gewijzigd naar LAT",,4,Staal,17
Point,2.606414615159909,51.290123498690846,Feature,"40,82","8,00","002\xb0 36,385 E",1,"16,50","51\xb0 17,407 N",1997 / 20 - 147,4,"61,25",,,24,,"10,52","1000,00",1,16,Duits,1,1915,"15,4 Wk",4,5,,1,"15,3 Wk","82,90",,3,17.37,,113,,"136,77",,B_117_236_a,7.5,Ter Streep,,Destroyer,3,Torpedoboot G 96,,1997/07/17,472554.91,8.75,,5682162.08,Krupp Germania,1917/06/26,"Door de duiker GA gemeld wrak van een Duitse destroyer uit de Eerste Wereldoorlog. Het wrak ligt dwars en is erg verzand. Het kanon, het anker en de lieren zijn zichtbaar. Het wrak werd ge\xefdentificeerd als G 96 door de bel.

B_117_236_a

Midden 51\xb0 17'.407 - 002\xb0 36'.385
Pt_01  51\xb0 17'.416 - 002\xb0 36'.374
Pt_02  51\xb0 17'.400 - 002\xb0 36'.400

Dieptecijfer gewijzigd naar LAT",,4,Staal,112
Point,2.470494075110548,51.36350211870903,Feature,u,,"002\xb0 28,230 E",99,"29,50","51\xb0 21,810 N",,2,59.00,,,6,,,,1,8,,4,,"27,5 Wk__",2,2.5,,6,"27,0 Wk__",,,3,30.47,,155,"27,70",,,B_121_228,7.5,,,,4,onbekend,,,463135.97,35,,5690382.02,,,Dieptecijfer gewijzigd naar LAT,,1,,155
Point,2.945847150006633,51.31312642967098,Feature,"38,35",,"002\xb0 56,751 E",1,"6,50","51\xb0 18,788 N",1996 / 17 - 129,5,"47,25",Oostende,,6,1994/08/16,"5,36",,1,20,Belgisch,1,,"gevaarlijk wrak voor bovenscheepvaart ; 05,0 Wk__ GLLWS",4,5,-,1,"04,9 Wk__",,-,3,6.47,,123,"5,00","107,45",,B_118_256,7.5,,-,Vissersboot,5,Vorpostenboot Senator Sthamer,,1996/04/30,496225.75,8.75,,5684648.06,-,,"In 1969 werd de positie  bepaald met DECCA, in 1994  met DGPS.  In 1927 werd er een positie opgegeven: 51 19 05 N - 02 56 20 E die ongeveer 100 m benoorden het wrak ligt. De naam "" O.73 RENILDE "" kan hier niet met zekerheid toegekend worden, dit schip is gezonken op 26 mei 1935.

B_118_256 

Midden 51\xb0 18'.788 - 002\xb0 56'.751
Pt_01  51\xb0 18'.785 - 002\xb0 56'.770
Pt_02  51\xb0 18'.791 - 002\xb0 56'.737

Dieptecijfer gewijzigd naar LAT","Polidoor Hagers, Cadzandstraat 5, Oostende",1,staal,122
Point,2.628445724130636,51.21677502774242,Feature,"28,19",,"002\xb0 37,707 E",2,"9,80","51\xb0 13,007 N",1996 / 07 - 082,5,"64,00",-,,24,,"3,81",,1,20,-,1,,"07,Wk GLLWS",3,3.75,-,1,"06,9 Wk",,-,3,9.54,,44,,"321,84",,B_113_237_a,7.5,,-,Destroyer,3,Branlebas,,1996/03/12,474049.9,8.75,1996/03/12,5673997.13,-,,"Op 27/12/1995 is de O.WILMAR vastgekomen in de positie 51 13.07 N - 02 37.82 E. 
De zandzuiger  SPAUWER werd na het ongeval van 13 op 14 nov. 1995 ( 00h30 ) versleept van 51 18.43 N - 02 40.71 E naar 51 10.48 N - 02 35.97 E. Hierbij was het mogelijk dat brokstukken in de positie van de vastgekomen WILMAR lagen. Op 12/03/1996 werd in de positie 51 13.06 N - 02 37.79 E een obstructie met een lengte van 28 m gevonden. Waarschijnlijk gaat het hier om een onbekend wrak ipv wrakresten afkomstig van de Spauwer. Een duiker bevestigd de aanwezigheid van het wrak. Een 2- tal stalen boilers en koperen buizen zijn waargenomen. Volgens de kenmerken van het wrak vermoedt de duiker dat het om de ""BRANLEBAS"" gaat. Dit was een Franse destroyer van de eerste wereldoorlog.

B_113_237_a

Midden  51\xb0 13'.007 - 002\xb0 37'.707
Pt_01   51\xb0 13'.013 - 002\xb0 37'.700
Pt_02   51\xb0 13'.001 - 002\xb0 37'.714

Dieptecijfer gewijzigd naar LAT",-,4,Staal,23
Point,3.102572414849206,51.423981842240615,Feature,"33,33",,"003\xb0 06,154 E",0,"8,20","51\xb0 25,439 N",1997 / 05 - 069,5,"47,25",-,,6,1994/02/28,"4,17",,1,20,-,1,,-,4,5,-,1,"06,3 Wk__",,-,3,7.99,,237,"6,30","342,47",,B_125_306_a,7.5,,-,Duikboot,5,UC 4,,2007/03/28,507131.67,8.75,,5696979.98,-,,"Duitse duikboot uit eerste wereldoorlog.

Op 15 april 1985 was de SANDERUS op ongeveer 0,6 mijl ten westen van de wrakboei nummer 11 op een obstructie gevaren . Hierbij was de kimplaat over 4 m gescheurd. Een bijkomend onderzoek werd ingesteld. Daaruit kon afgeleid worden dat de positie en het teken op de kaart  wel juist waren. In 1993  kon men in deze omgeving een tweede wrak met de nieuwe Side Scan Sonar 595 in beeld brengen.Dit tweede wrak verklaart de positie ten opzichte van de boei beschreven in het rapport van 28-05-85. Met andere woorden de SANDERUS zou een wrak geraakt hebben die in 1985 NIET op de kaart stond. Het tweede wrak is B 125/306 a afgedregd op 6,3 m   tov H-lokaal.

Dieptecijfer ongewijzigd in LAT",-,1,-,237
Point,3.104343776394135,51.420567871472876,Feature,"48,33",,"003\xb0 06,261 E",0,"7,50","51\xb0 25,234 N",1997 / 05 - 069,5,"47,25",-,,6,1985/06/18,"4,17",,1,20,-,1,,"4,7 Wk__ ;",4,5,-,1,"06,0 Wk__",,-,3,8.79,,238,"6,00","299,74",,B_125_306_b,7.5,,-,Duikboot,5,UB 59,,2007/03/28,507255.37,8.75,,5696600.48,-,,"Duitse duikboot uit eerste wereldoorlog.

Op 15 april 1985 was de SANDERUS op ongeveer 0,6 mijl ten westen van de wrakboei nummer 11 op een obstructie gevaren . Hierbij was de kimplaat over 4 m gescheurd. Een bijkomend onderzoek werd ingesteld. Daaruit kon afgeleid worden dat de positie en het teken op de kaart  wel juist waren. In 1993  kon men in deze omgeving een tweede wrak met de nieuwe Side Scan Sonar 595 in beeld brengen. Dit tweede wrak verklaart de positie ten opzichte van de boei beschreven in het rapport van 28-05-85. Met andere woorden de SANDERUS zou een wrak geraakt hebben die in 1985 NIET op de kaart stond. Het tweede wrak is B 125/306 a afgedregd op 6,3 m tov H-lokaal.


Dieptecijfer ongewijzigd in LAT",-,1,Staal,238
Point,2.318466599477708,51.54221664361825,Feature,u,,002\xb0 19.108 E,99,0,51\xb0 32.533 N,,2,"78,00",,,30,,,,2,8,,4,,,2,2.5,,6,,,,1,32.71,,259,,,,B_132_219,2.5,,,,2,onbekend,,,452736.87,35,,5710344.36,,,,,5,,258
Point,2.860886002696433,51.552372468438236,Feature,u,,"002\xb0 51,653 E",0,"30,40","51\xb0 33,142 N",1996 / 24 - 160,3,"54,75",,,24,,,,1,12,,1,,-,2,2.5,,1,"27,0 Wk",,,3,29.8,,260,,,,B_133_251,7.5,Ter Streep,,Duikboot,4,UB13,,2001/01/19,490354.79,8.75,,5711262.88,,,"Duitse duikboot uit eerste wereldoorlog.

Volgens gegevens van de Belgische Zeemacht is dit het wrak van een duikboot van de eerste wereldoorlog . Als het hier om de UC 14 gaat is evenwel niet bevestigd.

B_133_251

Midden 51\xb0 33'.142 - 002\xb0 51'.653
Pt_01  51\xb0 33'.146 - 002\xb0 51'.649
Pt_02  51\xb0 33'.140 - 002\xb0 51'.662

Dieptecijfer ongewijzigd in LAT",,4,,259
Point,2.624973906296681,51.132974604248794,Feature,"18,3","3,30","002\xb0 37,498 E",2,"1,70","51\xb0 07,978 N",1994 / 26 - 155,5,70.00,-,,30,1994/12/02,,"11,00",1,20,Brits,1,1911,"zichtbaar LW , 0,2 Wk , zichtbaar LW , 00,1 Wk__ GLLWS",3,3.75,,1,Zichtbaar Wrak,"16,50",-,3,3.04,,3,"0,10",,"0,90",B_108_237,7.5,,,CMB Coastal Motor Boat,3,CMB. 71A,,,473759.9,8.75,,5664679.2,,1918/10/14,Dieptecijfer gewijzigd naar LAT,"Royal Navy,  Great-Britain",5,Staal,60
Point,2.41823685756705,51.689413374644346,Feature,"73,3",,002\xb0 25.085 E,2,"36,00",51\xb0 41.356 N,,2,"61,50",,,6,,"10,20",,2,8,,4,,,4,5,,2,,,,3,33.31,,274,,"47,00",,B_141_225,7.5,,,,3,SS Ptarmigan ??,,2015/08/23,459786,35,,5726655,,,NIEUW,,1,,273
